Date,Product,Category,Quantity,Price,Region
2026-01-05,Laptop,Electronics,2,55000,North
2026-01-10,Mouse,Accessories,10,800,South
2026-01-15,Keyboard,Accessories,5,1500,East
2026-02-03,Laptop,Electronics,3,55000,West
2026-02-12,Headphones,Accessories,8,2000,South
2026-02-20,Mobile,Electronics,4,25000,North
2026-03-05,Monitor,Electronics,3,12000,East
2026-03-14,Mouse,Accessories,15,800,West
2026-03-22,Keyboard,Accessories,10,1500,South
2026-04-02,Laptop,Electronics,1,55000,North
2026-04-10,Mobile,Electronics,5,25000,West
2026-04-18,Headphones,Accessories,12,2000,East
2026-05-01,Monitor,Electronics,4,12000,South
2026-05-11,Mouse,Accessories,20,800,North
2026-05-25,Laptop,Electronics,2,55000,West
2026-06-04,Keyboard,Accessories,8,1500,East
2026-06-15,Mobile,Electronics,3,25000,South
2026-06-25,Headphones,Accessories,10,2000,North
